Publisher,Date,Title,Description,Metadata File,HTML,Download,Information,ID,Bounding Box,Resource Type,Resource Class
"Outdoor Recreation Access: 10-Minute Walk (County Stats)
This dataset provides county-level summary statistics on who has 10-minute walk access to outdoor recreation in Pennsylvania and who doesn’t. The statistics derive from overlaying 2018 US Census block group data with the Outdoor Recreation Access: 10-Minute Walk layer. Statistics include overall number of citizens served as well as demographic breakdowns by age, income, race/ethnicity, and social vulnerability. The Trust for Public Land produced this dataset to support Pennsylvania’s 2020-2024 Statewide Comprehensive Outdoor Recreation Plan (SCORP). This dataset was financed in part by a grant from the Community Conservation Partnerships Program, Environmental Stewardship Fund, under the administration of the Pennsylvania Department of Conservation and Natural Resources, Bureau of Recreation and Conservation.

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2020,Outdoor Recreation Access: 10-Minute Walk (County Stats),"This dataset provides county-level summary statistics on who has 10-minute walk access to outdoor recreation in Pennsylvania and who doesn’t. The statistics derive from overlaying 2018 US Census block group data with the Outdoor Recreation Access: 10-Minute Walk layer. Statistics include overall number of citizens served as well as demographic breakdowns by age, income, race/ethnicity, and social vulnerability. The Trust for Public Land produced this dataset to support Pennsylvania’s 2020-2024 Statewide Comprehensive Outdoor Recreation Plan (SCORP). This dataset was financed in part by a grant from the Community Conservation Partnerships Program, Environmental Stewardship Fund, under the administration of the Pennsylvania Department of Conservation and Natural Resources, Bureau of Recreation and Conservation.",FullMetadataDisplay.aspx?file=DCNR_TenMW_County_Stats.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_TenMW_County_Stats.xml,https://www.pasda.psu.edu/download/dcnr/OutdoorRecreationAccess/DCNR_TenMW_County_Stats.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1897,pasda-1897,"-81.049022,38.996464,-74.146609,42.634227",unspecified data,Datasets
"Outdoor Recreation Access: 10-Minute Walk (Municipal Stats)
This dataset provides municipal-level summary statistics on who has 10-minute walk access to outdoor recreation in Pennsylvania and who doesn’t. The statistics derive from overlaying 2018 US Census block group data with the Outdoor Recreation Access: 10-Minute Walk layer. Statistics include overall number of citizens served as well as demographic breakdowns by age, income, race/ethnicity, and social vulnerability. The Trust for Public Land produced this dataset to support Pennsylvania’s 2020-2024 Statewide Comprehensive Outdoor Recreation Plan (SCORP). This dataset was financed in part by a grant from the Community Conservation Partnerships Program, Environmental Stewardship Fund, under the administration of the Pennsylvania Department of Conservation and Natural Resources, Bureau of Recreation and Conservation.

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2020,Outdoor Recreation Access: 10-Minute Walk (Municipal Stats),"This dataset provides municipal-level summary statistics on who has 10-minute walk access to outdoor recreation in Pennsylvania and who doesn’t. The statistics derive from overlaying 2018 US Census block group data with the Outdoor Recreation Access: 10-Minute Walk layer. Statistics include overall number of citizens served as well as demographic breakdowns by age, income, race/ethnicity, and social vulnerability. The Trust for Public Land produced this dataset to support Pennsylvania’s 2020-2024 Statewide Comprehensive Outdoor Recreation Plan (SCORP). This dataset was financed in part by a grant from the Community Conservation Partnerships Program, Environmental Stewardship Fund, under the administration of the Pennsylvania Department of Conservation and Natural Resources, Bureau of Recreation and Conservation.",FullMetadataDisplay.aspx?file=DCNR_TenMW_Municipal_Stats.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_TenMW_Municipal_Stats.xml,https://www.pasda.psu.edu/download/dcnr/OutdoorRecreationAccess/DCNR_TenMW_Municipal_Stats.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1898,pasda-1898,"-81.049022,38.996464,-74.146609,42.634227",unspecified data,Datasets
"Outdoor Recreation Access: Recreation Opportunity Spectrum
Developed by the US Forest Service, the Recreation Opportunity Spectrum (ROS) classifies land into categories based on the probable recreation experiences it affords. This 30-m raster dataset adapts the Forest Service method to fit the landscape and local data in Pennsylvania. ROS classifies land based on land use, a location’s distance from roads, and the amount of human disturbance nearby. These classifications can help determine potential recreation opportunities that lands across the commonwealth can provide. The dataset assigns one of the following values to each cell statewide in Pennsylvania: Urban, Crop, Water, Disturbed, Rural, Front Country, Mid Country, and Back Country. CAUTION: This dataset covers the full state of Pennsylvania. It examines recreation potential, not whether lands are open to the public. The Trust for Public Land produced this dataset to support Pennsylvania’s 2020-2024 Statewide Comprehensive Outdoor Recreation Plan (SCORP). This dataset was financed in part by a grant from the Community Conservation Partnerships Program, Environmental Stewardship Fund, under the administration of the Pennsylvania Department of Conservation and Natural Resources, Bureau of Recreation and Conservation.

Metadata
 | 
Download
 | 
Preview
 | 
Add to ArcMap:
Image
 | More Options...",2020,Outdoor Recreation Access: Recreation Opportunity Spectrum,"Developed by the US Forest Service, the Recreation Opportunity Spectrum (ROS) classifies land into categories based on the probable recreation experiences it affords. This 30-m raster dataset adapts the Forest Service method to fit the landscape and local data in Pennsylvania. ROS classifies land based on land use, a location’s distance from roads, and the amount of human disturbance nearby. These classifications can help determine potential recreation opportunities that lands across the commonwealth can provide. The dataset assigns one of the following values to each cell statewide in Pennsylvania: Urban, Crop, Water, Disturbed, Rural, Front Country, Mid Country, and Back Country. CAUTION: This dataset covers the full state of Pennsylvania. It examines recreation potential, not whether lands are open to the public. The Trust for Public Land produced this dataset to support Pennsylvania’s 2020-2024 Statewide Comprehensive Outdoor Recreation Plan (SCORP). This dataset was financed in part by a grant from the Community Conservation Partnerships Program, Environmental Stewardship Fund, under the administration of the Pennsylvania Department of Conservation and Natural Resources, Bureau of Recreation and Conservation.",FullMetadataDisplay.aspx?file=DCNR_ROS_PA.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_ROS_PA.xml,https://www.pasda.psu.edu/download/dcnr/OutdoorRecreationAccess/DCNR_ROS_PA.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1899,pasda-1899,"-81.259402,38.865741,-73.835290,43.080257",unspecified data,Datasets
"Pennsylvania Local Parks
The Local Park data layer is to be used to depict the approximate boundary of Local Parks.

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2023,Pennsylvania Local Parks,The Local Park data layer is to be used to depict the approximate boundary of Local Parks.,FullMetadataDisplay.aspx?file=DCNR_LocalPark202306.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_LocalPark202306.xml,https://www.pasda.psu.edu/download/dcnr/DCNR_LocalPark202306.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=307,pasda-307,"-80.561371,39.700861,-74.684610,42.196208",unspecified data,Datasets
"Pennsylvania Local Parks Access Points
The PA Local Parks Access Points data layer is to be used to depict the approximate location of PA Local Parks Access Points.

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2015,Pennsylvania Local Parks Access Points,The PA Local Parks Access Points data layer is to be used to depict the approximate location of PA Local Parks Access Points.,FullMetadataDisplay.aspx?file=DCNR_LocalParkAccess201511.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_LocalParkAccess201511.xml,https://www.pasda.psu.edu/download/dcnr/DCNR_LocalParkAccess201511.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=308,pasda-308,"-80.561371,39.700861,-74.684610,42.196208",unspecified data,Datasets
"Pennsylvania Wild and Natural Areas
Boundaries of the PA DCNR, Bureau of Forestry Districts. These districts represent the regional management organization of the Bureau.

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2017,Pennsylvania Wild and Natural Areas,"Boundaries of the PA DCNR, Bureau of Forestry Districts. These districts represent the regional management organization of the Bureau.",FullMetadataDisplay.aspx?file=DCNR_BOF_WildandNaturalAreas201703.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_BOF_WildandNaturalAreas201703.xml,https://www.pasda.psu.edu/download/dcnr/DCNR_BOF_WildandNaturalAreas201703.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=932,pasda-932,"-80.617398,39.674273,-74.616786,42.282417",unspecified data,Datasets
"Pennsylvania Wilds
This data set represents the state forest management areas including part of the state forest boundary.

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2006,Pennsylvania Wilds,This data set represents the state forest management areas including part of the state forest boundary.,FullMetadataDisplay.aspx?file=dcnr_pawildsrec.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=dcnr_pawildsrec.xml,https://www.pasda.psu.edu/download/dcnr/PaWildsRec.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=937,pasda-937,"-80.52,39.72,-74.69,42.51",unspecified data,Datasets
"Physiographic Provinces 1:100,000
Late in 1994, the Pennsylvania Bureau of Topographic and Geologic Survey was
asked to develop a digital physiographic provinces map at 1:100,000 scale. The
then-available physiographic provinces map was compiled by the Survey at
1:500,000 scale and published at 1:2,000,000 scale in 1989. A new physiographic
provinces map was recompiled on county 1:50,000-scale topographic maps having
20-foot contour intervals. Boundaries based primarily on geology were positioned
using  published geological maps. Most boundaries were positioned by topographic
interpretation. The use of a 20-foot contour interval (a 200-foot interval was
used in 1989) resulted in the repositioning of some boundaries. New
scale-enhanced understanding of topographic/geologic patterns in the Appalachian
Plateaus province resulted in the creation of three new sections and the revision
of other section boundaries. The new compilation was reduced 50 percent and
transferred to 1:100,000-scale mylar base maps. The province and section
boundaries and the late Wisconsinan glacial border were digitized from the
mylars, edgematched, assembled into a single dataset, and attributed with
physiographic province and section names using UNIX-based Arc/Info. The late
Wisconsinan glacial border, which coincides with province and section boundaries
in some places, was copied to a separate dataset and removed from the dataset
containing the province and section boundaries. There are two datasets for the
late Wisconsinan glacial border and the physiographic province and section
boundaries. The original datasets are accurate at 1:100,000 scale. The other
datasets have been generalized to 1:500,000-scale accuracy for more regional
work.
A companion dataset consisting of the state and county boundaries of Pennsylvania
was compiled from the U.S. Geological Survey (USGS) 1:100,000-scale
digital-line-graph (DLG) files for boundaries. The dataset has been attributed
with the county names.

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",1995,"Physiographic Provinces 1:100,000","Late in 1994, the Pennsylvania Bureau of Topographic and Geologic Survey was
asked to develop a digital physiographic provinces map at 1:100,000 scale. The
then-available physiographic provinces map was compiled by the Survey at
1:500,000 scale and published at 1:2,000,000 scale in 1989. A new physiographic
provinces map was recompiled on county 1:50,000-scale topographic maps having
20-foot contour intervals. Boundaries based primarily on geology were positioned
using  published geological maps. Most boundaries were positioned by topographic
interpretation. The use of a 20-foot contour interval (a 200-foot interval was
used in 1989) resulted in the repositioning of some boundaries. New
scale-enhanced understanding of topographic/geologic patterns in the Appalachian
Plateaus province resulted in the creation of three new sections and the revision
of other section boundaries. The new compilation was reduced 50 percent and
transferred to 1:100,000-scale mylar base maps. The province and section
boundaries and the late Wisconsinan glacial border were digitized from the
mylars, edgematched, assembled into a single dataset, and attributed with
physiographic province and section names using UNIX-based Arc/Info. The late
Wisconsinan glacial border, which coincides with province and section boundaries
in some places, was copied to a separate dataset and removed from the dataset
containing the province and section boundaries. There are two datasets for the
late Wisconsinan glacial border and the physiographic province and section
boundaries. The original datasets are accurate at 1:100,000 scale. The other
datasets have been generalized to 1:500,000-scale accuracy for more regional
work.
A companion dataset consisting of the state and county boundaries of Pennsylvania
was compiled from the U.S. Geological Survey (USGS) 1:100,000-scale
digital-line-graph (DLG) files for boundaries. The dataset has been attributed
with the county names.",FullMetadataDisplay.aspx?file=pags_physprov1k.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=pags_physprov1k.xml,https://www.pasda.psu.edu/download/dcnr/pags/pags_physprov1k.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1158,pasda-1158,"-80.5181,39.6930,-74.6170,42.2340",unspecified data,Datasets
"Physiographic Provinces 1:500,000
Late in 1994, the Pennsylvania Bureau of Topographic and Geologic Survey was
asked to develop a digital physiographic provinces map at 1:100,000 scale. The
then-available physiographic provinces map was compiled by the Survey at
1:500,000 scale and published at 1:2,000,000 scale in 1989. A new physiographic
provinces map was recompiled on county 1:50,000-scale topographic maps having
20-foot contour intervals. Boundaries based primarily on geology were positioned
using  published geological maps. Most boundaries were positioned by topographic
interpretation. The use of a 20-foot contour interval (a 200-foot interval was
used in 1989) resulted in the repositioning of some boundaries. New
scale-enhanced understanding of topographic/geologic patterns in the Appalachian
Plateaus province resulted in the creation of three new sections and the revision
of other section boundaries. The new compilation was reduced 50 percent and
transferred to 1:100,000-scale mylar base maps. The province and section
boundaries and the late Wisconsinan glacial border were digitized from the
mylars, edgematched, assembled into a single dataset, and attributed with
physiographic province and section names using UNIX-based Arc/Info. The late
Wisconsinan glacial border, which coincides with province and section boundaries
in some places, was copied to a separate dataset and removed from the dataset
containing the province and section boundaries. There are two datasets for the
late Wisconsinan glacial border and the physiographic province and section
boundaries. The original datasets are accurate at 1:100,000 scale. The other
datasets have been generalized to 1:500,000-scale accuracy for more regional
work.
A companion dataset consisting of the state and county boundaries of Pennsylvania
was compiled from the U.S. Geological Survey (USGS) 1:100,000-scale
digital-line-graph (DLG) files for boundaries. The dataset has been attributed
with the county names.

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",1995,"Physiographic Provinces 1:500,000","Late in 1994, the Pennsylvania Bureau of Topographic and Geologic Survey was
asked to develop a digital physiographic provinces map at 1:100,000 scale. The
then-available physiographic provinces map was compiled by the Survey at
1:500,000 scale and published at 1:2,000,000 scale in 1989. A new physiographic
provinces map was recompiled on county 1:50,000-scale topographic maps having
20-foot contour intervals. Boundaries based primarily on geology were positioned
using  published geological maps. Most boundaries were positioned by topographic
interpretation. The use of a 20-foot contour interval (a 200-foot interval was
used in 1989) resulted in the repositioning of some boundaries. New
scale-enhanced understanding of topographic/geologic patterns in the Appalachian
Plateaus province resulted in the creation of three new sections and the revision
of other section boundaries. The new compilation was reduced 50 percent and
transferred to 1:100,000-scale mylar base maps. The province and section
boundaries and the late Wisconsinan glacial border were digitized from the
mylars, edgematched, assembled into a single dataset, and attributed with
physiographic province and section names using UNIX-based Arc/Info. The late
Wisconsinan glacial border, which coincides with province and section boundaries
in some places, was copied to a separate dataset and removed from the dataset
containing the province and section boundaries. There are two datasets for the
late Wisconsinan glacial border and the physiographic province and section
boundaries. The original datasets are accurate at 1:100,000 scale. The other
datasets have been generalized to 1:500,000-scale accuracy for more regional
work.
A companion dataset consisting of the state and county boundaries of Pennsylvania
was compiled from the U.S. Geological Survey (USGS) 1:100,000-scale
digital-line-graph (DLG) files for boundaries. The dataset has been attributed
with the county names.",FullMetadataDisplay.aspx?file=pags_physprov5k.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=pags_physprov5k.xml,https://www.pasda.psu.edu/download/dcnr/pags/pags_physprov5k.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1159,pasda-1159,"-80.5181,39.6930,-74.6170,42.2340",unspecified data,Datasets
"Physiographic Provinces for Pennsylvania
This polygon feature class is a digital representation of physiographic provinces of Pennsylvania. It is a result of visual interpretation of the topography of Pennsylvania as illustrated by 20-feet countour intervals on 1:50,000 scale county-size topographic maps. There has been no field investigation or aerial photograph interpretation involved in the production of this dataset. The feature class has the attribute field called ""PHYSNO"", which has been padded to 14 character length for all records.

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2008,Physiographic Provinces for Pennsylvania,"This polygon feature class is a digital representation of physiographic provinces of Pennsylvania. It is a result of visual interpretation of the topography of Pennsylvania as illustrated by 20-feet countour intervals on 1:50,000 scale county-size topographic maps. There has been no field investigation or aerial photograph interpretation involved in the production of this dataset. The feature class has the attribute field called ""PHYSNO"", which has been padded to 14 character length for all records.",FullMetadataDisplay.aspx?file=pags_physprov2008.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=pags_physprov2008.xml,https://www.pasda.psu.edu/download/dcnr/pags/pags_physprov2008.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1153,pasda-1153,"-80.617521,39.674068,-74.616157,42.282680",unspecified data,Datasets
"Physiographic Sections for Pennsylvania
This polygon feature class is a digital representation of physiographic sections of Pennsylvania. It is a result of visual interpretation of the topography of Pennsylvania as illustrated by 20-feet countour intervals on 1:50,000 scale county-size topographic maps. There has been no field investigation or aerial photograph interpretation involved in the production of this dataset. The feature class has the attribute field called ""PHYSNO"", assigned as a unique number identifier. The number represents two steps in the units hierarchy (province-section) and has been padded to 14 character length for all records.

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2008,Physiographic Sections for Pennsylvania,"This polygon feature class is a digital representation of physiographic sections of Pennsylvania. It is a result of visual interpretation of the topography of Pennsylvania as illustrated by 20-feet countour intervals on 1:50,000 scale county-size topographic maps. There has been no field investigation or aerial photograph interpretation involved in the production of this dataset. The feature class has the attribute field called ""PHYSNO"", assigned as a unique number identifier. The number represents two steps in the units hierarchy (province-section) and has been padded to 14 character length for all records.",FullMetadataDisplay.aspx?file=pags_physsections2008.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=pags_physsections2008.xml,https://www.pasda.psu.edu/download/dcnr/pags/pags_physsections2008.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1154,pasda-1154,"-80.617521,39.674068,-74.616157,42.282680",unspecified data,Datasets
"Preliminary Landform Subdivisions of Pennsylvania
The land surface of Pennsylvania is anything but flat and horizontal.  The surface comprises complex arrangements of differences in elevation above mean sea level.  The spatial arrangement of these elevation differences comprises topography.  Topography that has describable uniformity throughout some areal dimension is termed a landform.  Landforms can be classified, boundaries can be drawn, and a map can be created.  A preliminary landform map was compiled at approximately 1:605,500 scale.  The map has four levels of landform subdivision: province, section, region, and district.  These units range in size from many hundreds of square miles (province) to less than 200 square miles (district).  The greatest topographic similarity for a given landform unit occurs in the smallest subdivision (district). The greatest topographic dissimilarity for a given landform unit occurs in the largest subdivision (province).
The landform map was digitized using ARC/INFO software.  Polygon attributes include name of physiographic province, section, district, and area, and the numerical designation of the landform unit.  Arcs were attributed according to whether they form the boundary of one or more of the following: province, section, region, district, or state.
These data sets are preliminary and will be superseded in 1999 by more detailed data sets prepared from 1:50,000-scale compilation maps having five levels of landform subdivision.

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",1998,Preliminary Landform Subdivisions of Pennsylvania,"The land surface of Pennsylvania is anything but flat and horizontal.  The surface comprises complex arrangements of differences in elevation above mean sea level.  The spatial arrangement of these elevation differences comprises topography.  Topography that has describable uniformity throughout some areal dimension is termed a landform.  Landforms can be classified, boundaries can be drawn, and a map can be created.  A preliminary landform map was compiled at approximately 1:605,500 scale.  The map has four levels of landform subdivision: province, section, region, and district.  These units range in size from many hundreds of square miles (province) to less than 200 square miles (district).  The greatest topographic similarity for a given landform unit occurs in the smallest subdivision (district). The greatest topographic dissimilarity for a given landform unit occurs in the largest subdivision (province).
The landform map was digitized using ARC/INFO software.  Polygon attributes include name of physiographic province, section, district, and area, and the numerical designation of the landform unit.  Arcs were attributed according to whether they form the boundary of one or more of the following: province, section, region, district, or state.
These data sets are preliminary and will be superseded in 1999 by more detailed data sets prepared from 1:50,000-scale compilation maps having five levels of landform subdivision.",FullMetadataDisplay.aspx?file=pags_landform98.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=pags_landform98.xml,https://www.pasda.psu.edu/download/dcnr/pags/pags_landform98.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=295,pasda-295,"-80.52,39.72,-74.69,42.51",unspecified data,Datasets
"Recreational Opportunity Spectrum (ROS)   Report Geodatabase - as of December 31, 2012
The expected recreation experience and characterization of wild character that users can expect to find on the state forest system as of December 31, 2012.  This dataset was used in part to develop the Bureau of Forestry’s Shale Gas Monitoring Report (released April 2014). The Bureau of Forestry uses a modified version of the Recreational Opportunity Spectrum (ROS) to estimate the wild character of state forest land and the experience that recreationists can be expected to find in different portions of state forest system.  This dataset represents the excepted ROS experience as of December 31, 2012.  The Bureau of Forestry’s ROS zones are defined as: Primitive: greater than 1,000 acres and more than 1 mile from motorized roads, trails, and railroads.  Semi-Primitive: greater than 500 acres and more than 1/2 mile from motorized roads, trails, and railroads.Semi-Primitive Non-motorized: greater than 250 acres and more than 1/4 mile from motorized roads, trails, and railroads.Semi-Developed and Developed (Other Zones):  No minimum size or remoteness criteria. The ROS model considers all changes. Non-shale gas related changes do affect the results of the analysis.  April 2014 Shale Gas Monitoring Report ROS

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2014,"Recreational Opportunity Spectrum (ROS)   Report Geodatabase - as of December 31, 2012","The expected recreation experience and characterization of wild character that users can expect to find on the state forest system as of December 31, 2012.  This dataset was used in part to develop the Bureau of Forestry’s Shale Gas Monitoring Report (released April 2014). The Bureau of Forestry uses a modified version of the Recreational Opportunity Spectrum (ROS) to estimate the wild character of state forest land and the experience that recreationists can be expected to find in different portions of state forest system.  This dataset represents the excepted ROS experience as of December 31, 2012.  The Bureau of Forestry’s ROS zones are defined as: Primitive: greater than 1,000 acres and more than 1 mile from motorized roads, trails, and railroads.  Semi-Primitive: greater than 500 acres and more than 1/2 mile from motorized roads, trails, and railroads.Semi-Primitive Non-motorized: greater than 250 acres and more than 1/4 mile from motorized roads, trails, and railroads.Semi-Developed and Developed (Other Zones):  No minimum size or remoteness criteria. The ROS model considers all changes. Non-shale gas related changes do affect the results of the analysis.  April 2014 Shale Gas Monitoring Report ROS",FullMetadataDisplay.aspx?file=ROS_SummerGas_20121231.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=ROS_SummerGas_20121231.xml,https://www.pasda.psu.edu/download/dcnr/April_2014_Shale_Gas_Monitoring_Report_ROS.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1597,pasda-1597,"-78.693800,40.818197,-76.389314,41.965510",unspecified data,Datasets
"Recreational Opportunity Spectrum (ROS)   Report Geodatabase - prior to shale-gas development (pre-2008)
The expected recreation experience and characterization of wild character that users can expect to find on the state forest system prior to shale-gas development (pre-2008).  This dataset was used in part to develop the Bureau of Forestry’s Shale Gas Monitoring Report (released April 2014). The Bureau of Forestry uses a modified version of the Recreational Opportunity Spectrum (ROS) to estimate the wild character of state forest land and the experience that recreationists can be expected to find in different portions of state forest system.  This dataset represents the excepted ROS experience prior to Shale-Gas development (pre-2008).  The Bureau of Forestry’s ROS zones are defined as: Primitive: greater than 1,000 acres and more than 1 mile from motorized roads, trails, and railroads.  Semi-Primitive: greater than 500 acres and more than 1/2 mile from motorized roads, trails, and railroads.Semi-Primitive Non-motorized: greater than 250 acres and more than 1/4 mile from motorized roads, trails, and railroads.Semi-Developed and Developed (Other Zones):  No minimum size or remoteness criteria. The ROS model considers all changes. Non-shale gas related changes do affect the results of the analysis. April 2014 Shale Gas Monitoring Report ROS

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
GeoJSON
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2014,Recreational Opportunity Spectrum (ROS)   Report Geodatabase - prior to shale-gas development (pre-2008),"The expected recreation experience and characterization of wild character that users can expect to find on the state forest system prior to shale-gas development (pre-2008).  This dataset was used in part to develop the Bureau of Forestry’s Shale Gas Monitoring Report (released April 2014). The Bureau of Forestry uses a modified version of the Recreational Opportunity Spectrum (ROS) to estimate the wild character of state forest land and the experience that recreationists can be expected to find in different portions of state forest system.  This dataset represents the excepted ROS experience prior to Shale-Gas development (pre-2008).  The Bureau of Forestry’s ROS zones are defined as: Primitive: greater than 1,000 acres and more than 1 mile from motorized roads, trails, and railroads.  Semi-Primitive: greater than 500 acres and more than 1/2 mile from motorized roads, trails, and railroads.Semi-Primitive Non-motorized: greater than 250 acres and more than 1/4 mile from motorized roads, trails, and railroads.Semi-Developed and Developed (Other Zones):  No minimum size or remoteness criteria. The ROS model considers all changes. Non-shale gas related changes do affect the results of the analysis. April 2014 Shale Gas Monitoring Report ROS",FullMetadataDisplay.aspx?file=ROS_SummerFinal_Pre2008.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=ROS_SummerFinal_Pre2008.xml,https://www.pasda.psu.edu/download/dcnr/April_2014_Shale_Gas_Monitoring_Report_ROS.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=1596,pasda-1596,"-78.693800,40.818197,-76.389314,41.965510",unspecified data,Datasets
"Rivers Conservation Plans for Pennsylvania
Contains multiple Rivers Conservation Plans for Pennsylvania. Each folder includes various files with data about that particular river study area.

Metadata
 | 
Download
 | More Options...",2000,Rivers Conservation Plans for Pennsylvania,Contains multiple Rivers Conservation Plans for Pennsylvania. Each folder includes various files with data about that particular river study area.,FullMetadataDisplay.aspx?file=riversconservationplans.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=riversconservationplans.xml,https://www.pasda.psu.edu/download/rcp,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=211,pasda-211,"-80.52,39.72,-74.69,42.51",unspecified data,Datasets
"State Forest District Offices
Central office locations for the PA DCNR, Bureau of Forestry Districts. The districts represent the regional management organization of the Bureau.

Metadata
 | 
Download
 | 
Preview
 | 
KMZ
 | 
Spreadsheet
 | 
Add to ArcMap:
Image
 or 
Feature
 | 
Add to ArcGIS Pro
 | More Options...",2023,State Forest District Offices,"Central office locations for the PA DCNR, Bureau of Forestry Districts. The districts represent the regional management organization of the Bureau.",FullMetadataDisplay.aspx?file=DCNR_BOF_DistOffices202306.xml,https://www.pasda.psu.edu/uci/FullMetadataDisplay.aspx?file=DCNR_BOF_DistOffices202306.xml,https://www.pasda.psu.edu/download/dcnr/DCNR_BOF_DistOffices202306.zip,https://www.pasda.psu.edu/uci/DataSummary.aspx?dataset=262,pasda-262,"-80.617398,39.674273,-74.616786,42.282417",unspecified data,Datasets
