Title,Alternative Title,Description,Language,Creator,Title Source,Resource Class,Resource Type,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Format,Information,Download,ID,Identifier,Provider,Code,Member Of,Is Part Of,Rights,Accrual Method,Date Accessioned,Access Rights
BPTC GTFS Feed [Indiana--Bloomington],BPTC GTFS Feed,,eng,data.bloomington.in.gov,Indiana--Bloomington,Datasets,Vector data,2022-07-05,Continually updated resource,,Indiana--Bloomington|Indiana,"-86.592,39.121,-86.471,39.221",Shapefile,https://data.bloomington.in.gov/d/gief-ttiy,https://data.bloomington.in.gov/download/gief-ttiy/application/zip,gief-ttiy,https://data.bloomington.in.gov/api/views/gief-ttiy,"City of Bloomington, Indiana Open Data Portal",01c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,01c-01,,Socrata,2024-05-28,Public
Historical - GIS-Shapefiles of trails in the Cook County Forest Preserves [Illinois--Cook County],Historical - GIS-Shapefiles of trails in the Cook County Forest Preserves,"Trails within the Forest Preserve District of Cook County. To view or use these shapefiles, compression software and special GIS software, such as ESRI ArcGIS, is required.",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2011-08-02,Continually updated resource,,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/ik5r-h4d9,https://datacatalog.cookcountyil.gov/download/ik5r-h4d9/application/zip,ik5r-h4d9,https://datacatalog.cookcountyil.gov/api/views/ik5r-h4d9,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - GIS-Shapefiles of Cook County Forest Preserve Boundaries [Illinois--Cook County],Historical - GIS-Shapefiles of Cook County Forest Preserve Boundaries,"Forest Preserve District of Cook County boundaries. To view or use these shapefiles, compression software and special GIS software, such as ESRI ArcGIS, is required.",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2011-08-02,Continually updated resource,,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/ikxe-tdm7,https://datacatalog.cookcountyil.gov/download/ikxe-tdm7/application/zip,ikxe-tdm7,https://datacatalog.cookcountyil.gov/api/views/ikxe-tdm7,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 08 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 08 (2016),"This Address Point feature class contains one point for every address in Survey Township 08 (Township 41 N, Range 11 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-11,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/ivv7-q3um,https://datacatalog.cookcountyil.gov/api/geospatial/ivv7-q3um?method=export&format=Original,ivv7-q3um,https://datacatalog.cookcountyil.gov/api/views/ivv7-q3um,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 17 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 17 (2016),"This Address Point feature class contains one point for every address in Survey Township 17 (Township 39 N, Range 14 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-11,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/jaeu-u2u6,https://datacatalog.cookcountyil.gov/api/geospatial/jaeu-u2u6?method=export&format=Original,jaeu-u2u6,https://datacatalog.cookcountyil.gov/api/views/jaeu-u2u6,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 30 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 30 (2016),"This Address Point feature class contains one point for every address in Survey Township 30 (Township 36 N, Range 15 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-12,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/k7z8-ma9h,https://datacatalog.cookcountyil.gov/api/geospatial/k7z8-ma9h?method=export&format=Original,k7z8-ma9h,https://datacatalog.cookcountyil.gov/api/views/k7z8-ma9h,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Unincorporated Zoning Districts [Illinois--Cook County] {2014},Historical - ccgisdata - Unincorporated Zoning Districts 2014,"This is a Cook County Feature class of Unincorporated Zoning District Boundaries (Aggregate). This data is provided by the Cook County Dept. Of Building and Zoning and is maintained by the Cook County Zoning Board of Appeals. Only unincorporated district boundaries are available, please contact specific municipalities for questions regarding incorporated municipal zoning districts.",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2014-12-23,2014,2014-2014,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/kbr6-dyec,https://datacatalog.cookcountyil.gov/api/geospatial/kbr6-dyec?method=export&format=Original,kbr6-dyec,https://datacatalog.cookcountyil.gov/api/views/kbr6-dyec,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - Commit To Cook [Illinois--Cook County],Historical - Commit To Cook,,eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2012-02-08,Continually updated resource,,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/kkg6-8dze,https://datacatalog.cookcountyil.gov/download/kkg6-8dze/application/zip,kkg6-8dze,https://datacatalog.cookcountyil.gov/api/views/kkg6-8dze,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 23 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 23 (2016),"This Address Point feature class contains one point for every address in Survey Township 23 (Township 37 N, Range 12 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-12,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/kkvn-vsd7,https://datacatalog.cookcountyil.gov/api/geospatial/kkvn-vsd7?method=export&format=Original,kkvn-vsd7,https://datacatalog.cookcountyil.gov/api/views/kkvn-vsd7,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Lot [Illinois--Cook County] {2012},Historical - ccgisdata - Lot 2012,The feature class LOT contains lot polygons as shown on the tax map.,eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2014-03-10,2012,2012-2012,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/midq-8zgd,https://datacatalog.cookcountyil.gov/api/geospatial/midq-8zgd?method=export&format=Original,midq-8zgd,https://datacatalog.cookcountyil.gov/api/views/midq-8zgd,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 22 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 22 (2016),"This Address Point feature class contains one point for every address in Survey Township 22 (Township 37 N, Range 11 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-12,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/mqn9-4wmy,https://datacatalog.cookcountyil.gov/api/geospatial/mqn9-4wmy?method=export&format=Original,mqn9-4wmy,https://datacatalog.cookcountyil.gov/api/views/mqn9-4wmy,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 31 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 31 (2016),"This Address Point feature class contains one point for every address in Survey Township 31 (Township 35 N, Range 13 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-12,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/mqsd-unjm,https://datacatalog.cookcountyil.gov/api/geospatial/mqsd-unjm?method=export&format=Original,mqsd-unjm,https://datacatalog.cookcountyil.gov/api/views/mqsd-unjm,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - FPDCC fishing lakes in Cook County [Illinois--Cook County],Historical - ccgisdata - FPDCC fishing lakes in Cook County,"Fishing lakes in Cook County with contours. To view or use these shapefiles, compression software and special GIS software, such as ESRI ArcGIS, is required",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2011-08-02,Continually updated resource,,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/nbvy-w97v,https://datacatalog.cookcountyil.gov/download/nbvy-w97v/application/zip,nbvy-w97v,https://datacatalog.cookcountyil.gov/api/views/nbvy-w97v,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 06 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 06 (2016),"This Address Point feature class contains one point for every address in Survey Township 06 (Township 41 N, Range 9 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-11,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/nkzg-ucit,https://datacatalog.cookcountyil.gov/api/geospatial/nkzg-ucit?method=export&format=Original,nkzg-ucit,https://datacatalog.cookcountyil.gov/api/views/nkzg-ucit,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 24 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 24 (2016),"This Address Point feature class contains one point for every address in Survey Township 24 (Township 37 N, Range 13 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-12,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/ntax-x2zf,https://datacatalog.cookcountyil.gov/api/geospatial/ntax-x2zf?method=export&format=Original,ntax-x2zf,https://datacatalog.cookcountyil.gov/api/views/ntax-x2zf,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 26 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 26 (2016),"This Address Point feature class contains one point for every address in Survey Township 26 (Township 37 N, Range 15 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-12,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/pz8d-arh6,https://datacatalog.cookcountyil.gov/api/geospatial/pz8d-arh6?method=export&format=Original,pz8d-arh6,https://datacatalog.cookcountyil.gov/api/views/pz8d-arh6,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 32 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 32 (2016),"This Address Point feature class contains one point for every address in Survey Township 32 (Township 35 N, Range 14 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-12,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/q6ik-zx2p,https://datacatalog.cookcountyil.gov/api/geospatial/q6ik-zx2p?method=export&format=Original,q6ik-zx2p,https://datacatalog.cookcountyil.gov/api/views/q6ik-zx2p,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 01 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 01 (2016),"This Address Point feature class contains one point for every address in Survey Township 01 (Township 42 N, Range 9 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-10,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/qzpp-jhf6,https://datacatalog.cookcountyil.gov/api/geospatial/qzpp-jhf6?method=export&format=Original,qzpp-jhf6,https://datacatalog.cookcountyil.gov/api/views/qzpp-jhf6,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 07 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 07 (2016),"This Address Point feature class contains one point for every address in Survey Township 07 (Township 41 N, Range 10 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-11,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/rxi4-nx3v,https://datacatalog.cookcountyil.gov/api/geospatial/rxi4-nx3v?method=export&format=Original,rxi4-nx3v,https://datacatalog.cookcountyil.gov/api/views/rxi4-nx3v,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 09 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 09 (2016),"This Address Point feature class contains one point for every address in Survey Township 09 (Township 41 N, Range 12 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-11,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/syzq-55pd,https://datacatalog.cookcountyil.gov/api/geospatial/syzq-55pd?method=export&format=Original,syzq-55pd,https://datacatalog.cookcountyil.gov/api/views/syzq-55pd,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Municipality [Illinois--Cook County] {2014},Historical - ccgisdata - Municipality 2014,This Municipality feature class interprets the location and describes the boundaries of all municipalities and unincorporated areas within the borders of Cook County. Attribution for this feature class includes a municipality name and agency description.,eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2014-01-03,2014,2014-2014,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/ta8t-zebk,https://datacatalog.cookcountyil.gov/api/geospatial/ta8t-zebk?method=export&format=Original,ta8t-zebk,https://datacatalog.cookcountyil.gov/api/views/ta8t-zebk,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 11 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 11 (2016),"This Address Point feature class contains one point for every address in Survey Township 11 (Township 41 N, Range 14 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-11,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/uf63-xagj,https://datacatalog.cookcountyil.gov/api/geospatial/uf63-xagj?method=export&format=Original,uf63-xagj,https://datacatalog.cookcountyil.gov/api/views/uf63-xagj,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 21 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 21 (2016),"This Address Point feature class contains one point for every address in Survey Township 21 (Township 38 N, Range 15 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-12,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/uhv8-ar4p,https://datacatalog.cookcountyil.gov/api/geospatial/uhv8-ar4p?method=export&format=Original,uhv8-ar4p,https://datacatalog.cookcountyil.gov/api/views/uhv8-ar4p,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Road Edge [Illinois--Cook County] {2014},Historical - ccgisdata - Road Edge 2014,Paved road edge polygons show the location of pavement edges along a road,eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2014-05-14,2014,2014-2014,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/ve6b-nwmh,https://datacatalog.cookcountyil.gov/api/geospatial/ve6b-nwmh?method=export&format=Original,ve6b-nwmh,https://datacatalog.cookcountyil.gov/api/views/ve6b-nwmh,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 27 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 27 (2016),"This Address Point feature class contains one point for every address in Survey Township 27 (Township 36 N, Range 12 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-12,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/vhk7-x9yc,https://datacatalog.cookcountyil.gov/api/geospatial/vhk7-x9yc?method=export&format=Original,vhk7-x9yc,https://datacatalog.cookcountyil.gov/api/views/vhk7-x9yc,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - Address Points for Area 19 () [Illinois--Cook County] {2016},Historical - ccgisdata - Address Points for Area 19 (2016),"This Address Point feature class contains one point for every address in Survey Township 19 (Township 38 N, Range 13 E; see ccgisdata - Survey Township (Area) 2014).",eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2016-05-11,2016,2016-2016,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/y9wi-jd57,https://datacatalog.cookcountyil.gov/api/geospatial/y9wi-jd57?method=export&format=Original,y9wi-jd57,https://datacatalog.cookcountyil.gov/api/views/y9wi-jd57,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Historical - ccgisdata - High School Tax Dist [Illinois--Cook County] {2012},Historical - ccgisdata - High School Tax Dist 2012,High School Taxing Districts in Cook County,eng,datacatalog.cookcountyil.gov,Illinois--Cook County,Datasets,Vector data,2014-07-22,2012,2012-2012,Illinois--Cook County|Illinois,"-88.264,41.470,-87.524,42.154",Shapefile,https://datacatalog.cookcountyil.gov/d/yh6i-3pdt,https://datacatalog.cookcountyil.gov/api/geospatial/yh6i-3pdt?method=export&format=Original,yh6i-3pdt,https://datacatalog.cookcountyil.gov/api/views/yh6i-3pdt,Cook County Open Data,12b-17031-2,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12b-17031-2,,Socrata,2024-05-28,Public
Cook County - Highway Department - Jurisdictions [Illinois--Chicago],Cook County - Highway Department - Jurisdictions,"Routes located in Cook County. To view or use these shapefiles, compression software and special GIS software, such as ESRI ArcGIS, is required.",eng,data.cityofchicago.org,Illinois--Chicago,Datasets,Vector data,2011-06-23,Continually updated resource,,Illinois--Chicago|Illinois,"-87.940,41.644,-87.524,42.023",Shapefile,https://data.cityofchicago.org/d/2b73-3uqk,https://data.cityofchicago.org/download/2b73-3uqk/application/zip,2b73-3uqk,https://data.cityofchicago.org/api/views/2b73-3uqk,City of Chicago Data Portal,12c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12c-01,,Socrata,2024-05-28,Public
Individual Landmarks - Shapefiles (Deprecated December ) [Illinois--Chicago] {2013},Individual Landmarks - Shapefiles (Deprecated December 2013),"Individual landmarks in Chicago. To view or use these shapefiles, compression software, like WinZip, and special GIS software, such as ESRI ArcGIS, is required.",eng,data.cityofchicago.org,Illinois--Chicago,Datasets,Vector data,2011-06-24,2013,2013-2013,Illinois--Chicago|Illinois,"-87.940,41.644,-87.524,42.023",Shapefile,https://data.cityofchicago.org/d/2h6e-2yk6,https://data.cityofchicago.org/download/2h6e-2yk6/application/zip,2h6e-2yk6,https://data.cityofchicago.org/api/views/2h6e-2yk6,City of Chicago Data Portal,12c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12c-01,,Socrata,2024-05-28,Public
Chicago Public Schools - School Locations SY1516 [Illinois--Chicago],Chicago Public Schools - School Locations SY1516,"Locations of educational units in the Chicago Public School District for school year 2015-2016. To view or use these shapefiles, compression software, such as 7-Zip, and special GIS software, such as Google Earth, are required.",eng,data.cityofchicago.org,Illinois--Chicago,Datasets,Vector data,2016-04-05,Continually updated resource,,Illinois--Chicago|Illinois,"-87.940,41.644,-87.524,42.023",Shapefile,https://data.cityofchicago.org/d/2mts-wp7t,https://data.cityofchicago.org/api/geospatial/2mts-wp7t?method=export&format=Original,2mts-wp7t,https://data.cityofchicago.org/api/views/2mts-wp7t,City of Chicago Data Portal,12c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12c-01,,Socrata,2024-05-28,Public
Farmers Markets - Shapefiles [Illinois--Chicago],Farmers Markets - Shapefiles,"Chicago's Farmers Markets bring more than 70 vendors selling fresh fruits, vegetables, plants and flowers to neighborhoods throughout the City of Chicago. Markets are held Tuesday, Wednesday, Thursday, Saturday and Sunday around the city. To view or use these files, compression software and special GIS software, such as ESRI ArcGIS, is required. To download, right-click the ""Download"" link above and choose ""Save link as."" Data Owner: Cultural Affairs and Special Events. Time Period: 2011. Frequency: Data is updated annually or as needed. Last updated August 2011.",eng,data.cityofchicago.org,Illinois--Chicago,Datasets,Vector data,2011-08-08,Continually updated resource,,Illinois--Chicago|Illinois,"-87.940,41.644,-87.524,42.023",Shapefile,https://data.cityofchicago.org/d/36ke-zb8q,https://data.cityofchicago.org/download/36ke-zb8q/application/zip,36ke-zb8q,https://data.cityofchicago.org/api/views/36ke-zb8q,City of Chicago Data Portal,12c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12c-01,,Socrata,2024-05-28,Public
Liquor Moratorium Districts - Dry Precincts [Illinois--Chicago],Liquor Moratorium Districts - Dry Precincts,"The Illinois Liquor Control Act of 1934 permits voters in any precinct in the City of Chicago to vote an entire precinct ""dry"" through a local option referendum. If a precinct has been voted ""dry,"" no liquor licenses can be issued. VOTE_DRY_I column is the Precinct/Ward which was voted dry. It reflects the Ward/Precinct that was effective at the date of the referendum. Ward/Precinct boundaries may have changed since that date. STATUS column indicates if the precinct was voted 'dry' or 'wet'. The Illinois Liquor Control Act of 1934 permits voters in any precinct in the City of Chicago to vote an entire precinct ""dry"" through a local option referendum. If a precinct has been voted ""Dry/Dry,"" no liquor licenses, other than a caterer's liquor license, may be issued. If a precinct has been voted ""Dry/Wet"" no liquor licenses can be obtained for the consumption of alcohol on premise but the sale of package goods is allowed along with the caterer's liquor license. The VOTE_DRY_I column is the Precinct/Ward which was voted dry. It reflects the Ward/Precinct that was effective at the date of the referendum. Ward/Precinct boundaries may have changed since that date. STATUS column indicates if the precinct was voted 'dry/dry' or 'dry/wet'. To view or use these files, compression software and special GIS software, such as ESRI ArcGIS, is required.",eng,data.cityofchicago.org,Illinois--Chicago,Datasets,Vector data,2011-11-02,Continually updated resource,,Illinois--Chicago|Illinois,"-87.940,41.644,-87.524,42.023",Shapefile,https://data.cityofchicago.org/d/3cpd-5xpf,https://data.cityofchicago.org/download/3cpd-5xpf/application/zip,3cpd-5xpf,https://data.cityofchicago.org/api/views/3cpd-5xpf,City of Chicago Data Portal,12c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12c-01,,Socrata,2024-05-28,Public
Bike Routes [Illinois--Chicago],Bike Routes,"Bike routes in Chicago. To view or use these files outside of a web brower, compression software and special GIS software, such as ESRI ArcGIS, is required.",eng,data.cityofchicago.org,Illinois--Chicago,Datasets,Vector data,2016-05-06,Continually updated resource,,Illinois--Chicago|Illinois,"-87.940,41.644,-87.524,42.023",Shapefile,https://data.cityofchicago.org/d/3w5d-sru8,https://data.cityofchicago.org/api/geospatial/3w5d-sru8?method=export&format=Original,3w5d-sru8,https://data.cityofchicago.org/api/views/3w5d-sru8,City of Chicago Data Portal,12c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12c-01,,Socrata,2024-05-28,Public
Chicago Public Schools - Elementary Geographic Networks (Deprecated August ) [Illinois--Chicago] {2021},Chicago Public Schools - Elementary Geographic Networks (Deprecated August 2021),"OUTDATED. See the current data at https://data.cityofchicago.org/d/pnta-kuqa -- District-run elementary schools in CPS are organized into 13 Geographic Networks, which provide administrative support, strategic direction, and leadership development to the schools within each Network. To view or use these shapefiles, compression software, such as 7-Zip, and special GIS software, such as Google Earth or ArcGIS, are required",eng,data.cityofchicago.org,Illinois--Chicago,Datasets,Vector data,2016-08-23,2021,2021-2021,Illinois--Chicago|Illinois,"-87.940,41.644,-87.524,42.023",Shapefile,https://data.cityofchicago.org/d/3y7n-mx9t,https://data.cityofchicago.org/api/geospatial/3y7n-mx9t?method=export&format=Original,3y7n-mx9t,https://data.cityofchicago.org/api/views/3y7n-mx9t,City of Chicago Data Portal,12c-01,ba5cc745-21c5-4ae9-954b-72dd8db6815a,12c-01,,Socrata,2024-05-28,Public
