Title,Alternative Title,Description,Language,Creator,Publisher,Resource Type,Keyword,Date Issued,Temporal Coverage,Date Range,Spatial Coverage,Bounding Box,Information,Image,Manifest,Identifier,ID,Access Rights,Provider,Code,Is Part Of,Member Of,Status,Accrual Method,Date Accessioned,Rights,Resource Class,Format,Suppressed,Child Record
"Map of Kashmir with part of adjacent mountains : Surveyed on the basis of the Great Trigonometrical Survey of India, under the instructions of Lieutt. Colonel A.S. Waugh, engineers. F.R.S. F.R.G.S., 1st assistant G.T. Survey of India and The Assistants under his orders during 1855, 56 & 57. Scale of miles half an inch to one mile","Map of Kashmir with part of adjacent mountains : Surveyed on the basis of the Great Trigonometrical Survey of India, under the instructions of Lieutt. Colonel A.S. Waugh, engineers. F.R.S. F.R.G.S., 1st assistant G.T. Survey of India and The Assistants under his orders during 1855, 56 & 57. Scale of miles half an inch to one mile",,eng,,Survey of India Offices (Calcutta),,,1857,,1857-1857,India,,https://umedia.lib.umn.edu/item/p16022coll246:453,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll246/id/453,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll246/453/manifest.json,UMN_ALMA:9974088398901701,p16022coll246:453,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Secunderabad and Bolarum,Secunderabad and Bolarum,,eng,,Survey of India (Dehra Dun),,,1929,,1929-1929,India,,https://umedia.lib.umn.edu/item/p16022coll246:445,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll246/id/445,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll246/445/manifest.json,UMN_ALMA:9915296810001701,p16022coll246:445,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Skeleton map of the Panjab and surrounding countries : to accompany the administration report for 1879-80,Skeleton map of the Panjab and surrounding countries : to accompany the administration report for 1879-80,,eng,,Surveyor General's Office (Calcutta),,,1880,,1880-1880,India,,https://umedia.lib.umn.edu/item/p16022coll230:4251,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4251,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4251/manifest.json,UMN_ALMA:9974347703101701,p16022coll230:4251,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Sketch map of the Saugor division and adjoining countries : compiled from available materials in the office of the Surveyor General of India, August 1855","Sketch map of the Saugor division and adjoining countries : compiled from available materials in the office of the Surveyor General of India, August 1855",,eng,,Survey of India (Calcutta),,,1855,,1855-1855,India,,https://umedia.lib.umn.edu/item/p16022coll230:4263,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4263,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4263/manifest.json,UMN_ALMA:9974129597901701,p16022coll230:4263,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Sketch map showing the disposition of the Bengal army : compiled in the Office of the QR: MR: GENL of the Army for the month of March 1856,Sketch map showing the disposition of the Bengal army : compiled in the Office of the QR: MR: GENL of the Army for the month of March 1856,,eng,,Survey General's Office (Calcutta),,Military Geography,1856,,1856-1856,India,,https://umedia.lib.umn.edu/item/p16022coll230:4269,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4269,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4269/manifest.json,UMN_ALMA:9974089407201701,p16022coll230:4269,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Sketch of the country between Umballah & Agra : taken from Joesph's map of the Trunk Road,Sketch of the country between Umballah & Agra : taken from Joesph's map of the Trunk Road,,eng,,Survey of India (Calcutta),,,1857,,1857-1857,India,,https://umedia.lib.umn.edu/item/p16022coll205:1141,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/1141,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/1141/manifest.json,UMN_ALMA:9974129690101701,p16022coll205:1141,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Voyage par mer d'Edouard Terry aux Indes orientales : fait d'Angleterre vers Surate et Bengale en côtoyant le Mogolistan, tiré de ses mémoires, et d'autres plus exacts","Voyage par mer d'Edouard Terry aux Indes orientales : fait d'Angleterre vers Surate et Bengale en côtoyant le Mogolistan, tiré de ses mémoires, et d'autres plus exacts",,dut,,"Pieter van der Aa (Leiden, Netherlands)",,,1715,,1715-1715,India,,https://umedia.lib.umn.edu/item/p16022coll246:452,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll246/id/452,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll246/452/manifest.json,UMN_ALMA:9973944601001701,p16022coll246:452,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
A map of the Island of Sumatra in the East Indies,A map of the Island of Sumatra in the East Indies,,eng,,Wm. Marsden (London),,,1810,,1810-1810,India,,https://umedia.lib.umn.edu/item/p16022coll230:4271,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4271,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4271/manifest.json,UMN_ALMA:9978301920801701,p16022coll230:4271,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
British India : southern part,British India : southern part,,eng,,Drawn & engraved for Thomson's New general Atlas (Edinburgh),,,1816,,1816-1816,India,,https://umedia.lib.umn.edu/item/p16022coll230:4212,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4212,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4212/manifest.json,UMN_ALMA:9976561808301701,p16022coll230:4212,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Country bordering the Great Trunk Road between Benares and Dehli : complied from the Revenue Surveys, based on the Great Trigonometrical Operations, 1857","Country bordering the Great Trunk Road between Benares and Dehli : complied from the Revenue Surveys, based on the Great Trigonometrical Operations, 1857",,eng,,Surveyor General's Office (Calcutta),,,1857,,1857-1857,India,,https://umedia.lib.umn.edu/item/p16022coll246:448,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll246/id/448,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll246/448/manifest.json,UMN_ALMA:9974090072701701,p16022coll246:448,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
District Tipperah and Noacolly including Hill Tipperah : 1861 to '65 & '72-'73,District Tipperah and Noacolly including Hill Tipperah : 1861 to '65 & '72-'73,,eng,,Surveyor General of India (Calcutta),,India|India,1876,,1876-1876,India,,https://umedia.lib.umn.edu/item/p16022coll230:4152,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4152,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4152/manifest.json,UMN_ALMA:9974092596301701,p16022coll230:4152,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Extract from an unfinished map of Saugor & Nurbudda States : Scale 8 miles = 1 inch,Extract from an unfinished map of Saugor & Nurbudda States : Scale 8 miles = 1 inch,,eng,,"Survey of India (Calcutta, India)",,,1860,,1860-1860,India,,https://umedia.lib.umn.edu/item/p16022coll246:450,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll246/id/450,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll246/450/manifest.json,UMN_ALMA:9974088403201701,p16022coll246:450,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Hindoostan; or India : drawn from the most recent authorities for the illustration of Lavoisne's genealogical, historical, chronological and geographical atlas","Hindoostan; or India : drawn from the most recent authorities for the illustration of Lavoisne's genealogical, historical, chronological and geographical atlas",,eng,,M. Carey and Son (Philadelphia),,,1821,,1821-1821,India,,https://umedia.lib.umn.edu/item/p16022coll230:4249,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4249,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4249/manifest.json,UMN_ALMA:9974093153801701,p16022coll230:4249,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Indian atlas,Indian atlas,,eng,,Survey of India (Dehra Dun),,,1863 - 1874,,1863 - 1874,India,,https://umedia.lib.umn.edu/item/p16022coll230:4242,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4242,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4242/manifest.json,UMN_ALMA:9974756096501701,p16022coll230:4242,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Indian Atlas : parts of Districts Chánda and Raipur and Native States of Bastar and Kánker, District Raipur and of Native States Patna, Kalahandi, Kánker, Bastar and Jeypore","Indian Atlas : parts of Districts Chánda and Raipur and Native States of Bastar and Kánker, District Raipur and of Native States Patna, Kalahandi, Kánker, Bastar and Jeypore",,eng,,Survey of India (Calcutta),,,1891,,1891-1891,India,,https://umedia.lib.umn.edu/item/p16022coll230:4129,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4129,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4129/manifest.json,UMN_ALMA:9974129506701701,p16022coll230:4129,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
[Map of southern India],[Map of southern India],,eng,,,,Roads,1761,,1761-1761,India,,https://umedia.lib.umn.edu/item/p16022coll230:4264,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4264,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4264/manifest.json,UMN_ALMA:9974756606001701,p16022coll230:4264,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Map of the Grand Trunk Road from the Karamnassa to the Sutledge, in two parts : exhibiting the staging bungalows, encamping grounds, dak and overseers' choukies, post office, thannahs and tuhseeldaries","Map of the Grand Trunk Road from the Karamnassa to the Sutledge, in two parts : exhibiting the staging bungalows, encamping grounds, dak and overseers' choukies, post office, thannahs and tuhseeldaries",,eng,,Office of the Supt. Grand Trunk Road (Allahabad),,Roads|Roads,1851,,1851-1851,India,,https://umedia.lib.umn.edu/item/p16022coll246:454,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll246/id/454,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll246/454/manifest.json,UMN_ALMA:9974347801301701,p16022coll246:454,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
[Map of the peninsula of India from the Krishnah River to Cape Comorin drawn chiefly from materials in the collection of Alexander Da'rymple esq.],[Map of the peninsula of India from the Krishnah River to Cape Comorin drawn chiefly from materials in the collection of Alexander Da'rymple esq.],,eng,,"(J. Philips amd W. Harrison],)",,,1788,,1788-1788,India,,https://umedia.lib.umn.edu/item/p16022coll230:4255,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4255,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4255/manifest.json,UMN_ALMA:9974756297601701,p16022coll230:4255,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Pachmarhi Guide Map,Pachmarhi Guide Map,,und,,Survey of India Offices (P. L. O.) (Calcutta),,,1926,,1926-1926,India,,https://umedia.lib.umn.edu/item/p16022coll230:4275,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4275,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4275/manifest.json,UMN_ALMA:9960095480001701,p16022coll230:4275,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"A new map of Hindoostan : from the latest authorities, chiefly from the actual surveys of the Bengal provinces and of the countries lying between them and Dehly : the whole exhibiting all the military roads and passes, as well as the most accurate division of the British possessions in the East Indies","A new map of Hindoostan : from the latest authorities, chiefly from the actual surveys of the Bengal provinces and of the countries lying between them and Dehly : the whole exhibiting all the military roads and passes, as well as the most accurate division of the British possessions in the East Indies",,eng,,Laurie & Whittle (London),,,1794,,1794-1794,India,,https://umedia.lib.umn.edu/item/p16022coll230:4180,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4180,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4180/manifest.json,UMN_ALMA:9974089998801701,p16022coll230:4180,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Geological map of Indiana...,Geological map of Indiana...,,eng,,"W.B. Burford, lith (Indianapolis, Ind)",,Geology,1903,,1903-1903,Indiana,,https://umedia.lib.umn.edu/item/p16022coll230:4109,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4109,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4109/manifest.json,UMN_ALMA:9928096830001701,p16022coll230:4109,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Map of the State of Indiana : exhibiting the lands ceded by the Indian tribes to the United States,Map of the State of Indiana : exhibiting the lands ceded by the Indian tribes to the United States,,eng,,"G.P.O. (Washington, D.C)",,Indian Land Transfers|Indians of North America,1881,,1881-1881,Indiana,,https://umedia.lib.umn.edu/item/p16022coll230:4077,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4077,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4077/manifest.json,UMN_ALMA:9943446980001701,p16022coll230:4077,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Iowa,Iowa,,eng,,", 1902",,Railroads,1902,,1902-1902,Iowa,,https://umedia.lib.umn.edu/item/p16022coll230:4132,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4132,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4132/manifest.json,UMN_ALMA:9978376531001701,p16022coll230:4132,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Map of Iowa primary road system : work completed or under contract Dec. 1, 1922","Map of Iowa primary road system : work completed or under contract Dec. 1, 1922",,eng,,Iowa Highway Commission (Place of publication not identified),,Roads,1923,,1923-1923,Iowa,,https://umedia.lib.umn.edu/item/p16022coll230:4203,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4203,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4203/manifest.json,UMN_ALMA:9976878106301701,p16022coll230:4203,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Iowa and Wisconsin : chiefly from the map of J.N. Nicollet,Iowa and Wisconsin : chiefly from the map of J.N. Nicollet,,eng,,"Sidney E. Morse and Samuel Breese (New York), 1944",,Indians of North America|Indians of North America|Indians of North America|Trails|Trails|Trails|Counties|Counties|Counties,1844,,1844-1844,Iowa|Wisconsin|Michigan|Minnesota,,https://umedia.lib.umn.edu/item/p16022coll230:4009,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4009,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4009/manifest.json,UMN_ALMA:9976427792301701,p16022coll230:4009,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"[Iran, Afghanistan, Pakistan]","[Iran, Afghanistan, Pakistan]",,eng,,publisher not identified,,,1925,,1925-1925,Iran|Afghanistan|Pakistan,,https://umedia.lib.umn.edu/item/p16022coll246:444,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll246/id/444,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll246/444/manifest.json,UMN_ALMA:9954907620001701,p16022coll246:444,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Jamaica,Jamaica,,eng,,"Edward Stanford Ltd., 12, 13, & 14 Long Acre W.C (London)",,,1920 - 1929,,1920 - 1929,Jamaica,,https://umedia.lib.umn.edu/item/p16022coll230:4248,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4248,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4248/manifest.json,UMN_ALMA:9951795440001701,p16022coll230:4248,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Kansas,Kansas,,eng,,"Rand, McNally and Co (Chicago), 1903",,Railroads,1903,,1903-1903,Kansas,,https://umedia.lib.umn.edu/item/p16022coll230:4164,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4164,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4164/manifest.json,UMN_ALMA:9944316400001701,p16022coll230:4164,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Map of Lakeland, Polk County, Florida","Map of Lakeland, Polk County, Florida",,eng,,"Lakeland Chamber of Commerce? (Lakeland, Fla)",,Roads,1929,,1929-1929,"Lakeland, Florida|Florida",,https://umedia.lib.umn.edu/item/p16022coll205:1128,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/1128,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/1128/manifest.json,UMN_ALMA:9912655400001701,p16022coll205:1128,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Bartholomew's plan of London, central area","Bartholomew's plan of London, central area",,eng,,John Bartholomew & Son (Edinburgh),,,1929,,1929-1929,"London, England|England",,https://umedia.lib.umn.edu/item/p16022coll205:1013,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/1013,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/1013/manifest.json,UMN_ALMA:9937385860001701,p16022coll205:1013,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
The booklovers' map of the British Isles,The booklovers' map of the British Isles,,eng,,"R.R. Bowker Co (New York, N.Y)",,Literary Landmarks|Literary Landmarks|Literary Landmarks,1927,,1927-1927,"London|Edinburgh, England|Scotland",,https://umedia.lib.umn.edu/item/p16022coll230:4190,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4190,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4190/manifest.json,UMN_ALMA:9957445490001701,p16022coll230:4190,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Birds eye view of the city of Louisiana, Pike County, Mo. : 1876","Birds eye view of the city of Louisiana, Pike County, Mo. : 1876",,eng,,Chas. Shober & Co (Chicago),,,1876,,1876-1876,Louisiana,,https://umedia.lib.umn.edu/item/p16022coll205:1138,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll205/id/1138,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll205/1138/manifest.json,UMN_ALMA:9915169330001701,p16022coll205:1138,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
Carte du grand-duché de Luxembourg,Carte du grand-duché de Luxembourg,,fre,,E. Blondel La Rougery (Paris),,Roads,1929,,1929-1929,Luxembourg,,https://umedia.lib.umn.edu/item/p16022coll230:4256,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4256,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4256/manifest.json,UMN_ALMA:9978507365501701,p16022coll230:4256,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
"Theatre of military operations in Luzon, 1899","Theatre of military operations in Luzon, 1899",,eng,,"The Division? (Washington, D.C)",,,1899,,1899-1899,"Luzon, Philippines|Philippines",,https://umedia.lib.umn.edu/item/p16022coll230:4183,https://cdm16022.contentdm.oclc.org/utils/getthumbnail/collection/p16022coll230/id/4183,https://cdm16022.contentdm.oclc.org/iiif/info/p16022coll230/4183/manifest.json,UMN_ALMA:9931048490001701,p16022coll230:4183,Public,University of Minnesota,05d-01,05d-01,64bd8c4c-8e60-4956-b43d-bdc3f93db488,Active,Blacklight,9/26/22,"Use of this item may be governed by US and international copyright laws. You may be able to use this item, but copyright and other considerations may apply. For possible additional information or guidance on your use, please contact the contributing organization.",Maps,JPEG,FALSE,FALSE
